chamber,name,party,state
Camara dos Deputados,Ruy Carneiro,PSC,PB
Camara dos Deputados,Sâmia Bomfim,PSOL,SP
Camara dos Deputados,Samuel Moreira,PSDB,SP
Camara dos Deputados,Sanderson,PL,RS
Camara dos Deputados,Sandro Alex,PSD,PR
Camara dos Deputados,Sargento Alexandre,PODE,SP
Camara dos Deputados,Sargento Fahur,PSD,PR
Camara dos Deputados,Sebastião Oliveira,AVANTE,PE
Camara dos Deputados,Sérgio Brito,PSD,BA
Camara dos Deputados,Sergio Souza,MDB,PR
Camara dos Deputados,Sergio Toledo,PV,AL
Camara dos Deputados,Severino Pessoa,MDB,AL
Camara dos Deputados,Shéridan,PSDB,RR
Camara dos Deputados,Sidney Leite,PSD,AM
Camara dos Deputados,Silas Câmara,REPUBLICANOS,AM
Camara dos Deputados,Silvia Cristina,PL,RO
Camara dos Deputados,Silvio Costa Filho,REPUBLICANOS,PE
Senado,Simone Tebet,MDB,MS
Camara dos Deputados,Soraya Santos,PL,RJ
Senado,Soraya Thronicke,UNIÃO,MS
Camara dos Deputados,Sóstenes Cavalcante,PL,RJ
Camara dos Deputados,Stefano Aguiar,PSD,MG
Senado,Styvenson Valentim,PODEMOS,RN
Camara dos Deputados,Subtenente Gonzaga,PSD,MG
Camara dos Deputados,Tabata Amaral,PSB,SP
Camara dos Deputados,Tadeu Alencar,PSB,PE
Camara dos Deputados,Talíria Petrone,PSOL,RJ
Senado,Tasso Jereissati,PSDB,CE
Senado,Telmário Mota,PROS,RR
Camara dos Deputados,Tereza Cristina,PP,MS
Camara dos Deputados,Tereza Nelma,PSD,AL
Camara dos Deputados,Tiago Andrino,PSB,TO
Camara dos Deputados,Tiago Dimas,PODE,TO
Camara dos Deputados,Tiago Mitraud,NOVO,MG
Camara dos Deputados,Tiririca,PL,SP
Camara dos Deputados,Tito,AVANTE,BA
Camara dos Deputados,Toninho Wandscheer,PROS,PR
Camara dos Deputados,Túlio Gadêlha,REDE,PE
Camara dos Deputados,Uldurico Junior,MDB,BA
Camara dos Deputados,Valmir Assunção,PT,BA
Senado,Vanderlan Cardoso,PSD,GO
Camara dos Deputados,Vanderlei Macris,PSDB,SP
Camara dos Deputados,Vander Loubet,PT,MS
Camara dos Deputados,Vavá Martins,REPUBLICANOS,PA
Senado,Veneziano Vital do Rêgo,MDB,PB
Camara dos Deputados,Vermelho,PL,PR
Camara dos Deputados,Vicentinho,PT,SP
Camara dos Deputados,Vicentinho Júnior,PP,TO
Camara dos Deputados,Vilson Da Fetaemg,PSB,MG
Camara dos Deputados,Vinicius Carvalho,REPUBLICANOS,SP
Camara dos Deputados,Vinicius Farah,UNIÃO,RJ
Camara dos Deputados,Vinicius Poit,NOVO,SP
Camara dos Deputados,Vitor Lippi,PSDB,SP
Camara dos Deputados,Vivi Reis,PSOL,PA
Camara dos Deputados,Waldenor Pereira,PT,BA
Camara dos Deputados,Walter Alves,MDB,RN
Camara dos Deputados,Weliton Prado,PROS,MG
Senado,Wellington Fagundes,PL,MT
Camara dos Deputados,Wellington Roberto,PL,PB
Camara dos Deputados,Wilson Santiago,REPUBLICANOS,PB
Camara dos Deputados,Wolney Queiroz,PDT,PE
Camara dos Deputados,Zeca Dirceu,PT,PR
Camara dos Deputados,Zé Carlos,PT,MA
Senado,Zenaide Maia,PROS,RN
Camara dos Deputados,Zé Neto,PT,BA
Senado,Zequinha Marinho,PL,PA
Camara dos Deputados,Zé Silva,SOLIDARIEDADE,MG
Camara dos Deputados,Zé Vitor,PL,MG
