chamber,name,party,state
Camara dos Deputados,Daniela Do Waguinho,UNIÃO,RJ
Camara dos Deputados,Daniel Almeida,PCdoB,BA
Camara dos Deputados,Daniel Coelho,CIDADANIA,PE
Camara dos Deputados,Daniel Freitas,PL,SC
Senado,Daniella Ribeiro,PSD,PB
Camara dos Deputados,Daniel Silveira,PTB,RJ
Camara dos Deputados,Daniel Trzeciak,PSDB,RS
Camara dos Deputados,Danilo Cabral,PSB,PE
Camara dos Deputados,Danilo Forte,UNIÃO,CE
Camara dos Deputados,Danrlei De Deus Hinterholz,PSD,RS
Camara dos Deputados,Darci De Matos,PSD,SC
Senado,Dário Berger,PSB,SC
Senado,Davi Alcolumbre,UNIÃO,AP
Camara dos Deputados,David Miranda,PDT,RJ
Camara dos Deputados,David Soares,UNIÃO,SP
Camara dos Deputados,Da Vitoria,PP,ES
Camara dos Deputados,Delegado Antônio Furtado,UNIÃO,RJ
Camara dos Deputados,Delegado Éder Mauro,PL,PA
Camara dos Deputados,Delegado Marcelo Freitas,UNIÃO,MG
Camara dos Deputados,Delegado Pablo,UNIÃO,AM
Camara dos Deputados,Delegado Waldir,UNIÃO,GO
Camara dos Deputados,Denis Bezerra,PSB,CE
Camara dos Deputados,Diego Andrade,PSD,MG
Camara dos Deputados,Diego Garcia,REPUBLICANOS,PR
Camara dos Deputados,Dimas Fabiano,PP,MG
Camara dos Deputados,Domingos Neto,PSD,CE
Camara dos Deputados,Domingos Sávio,PL,MG
Camara dos Deputados,Dr. Agripino Magalhães,UNIÃO,CE
Camara dos Deputados,Dr. Frederico,PATRIOTA,MG
Camara dos Deputados,Dr. Jaziel,PL,CE
Camara dos Deputados,Dr. Leonardo,REPUBLICANOS,MT
Camara dos Deputados,Dr. Luiz Antonio Teixeira Jr.,PP,RJ
Camara dos Deputados,Dr. Luiz Ovando,PP,MS
Camara dos Deputados,Dr. Zacharias Calil,UNIÃO,GO
Camara dos Deputados,Dra. Soraya Manato,PTB,ES
Camara dos Deputados,Dra. Vanda Milani,PROS,AC
Camara dos Deputados,Dulce Miranda,MDB,TO
Camara dos Deputados,Edilázio Júnior,PSD,MA
Camara dos Deputados,Edio Lopes,PL,RR
Camara dos Deputados,Edna Henrique,REPUBLICANOS,PB
Camara dos Deputados,Eduardo Barbosa,PSDB,MG
Camara dos Deputados,Eduardo Bismarck,PDT,CE
Camara dos Deputados,Eduardo Bolsonaro,PL,SP
Senado,Eduardo Braga,MDB,AM
Camara dos Deputados,Eduardo Costa,PSD,PA
Camara dos Deputados,Eduardo Cury,PSDB,SP
Camara dos Deputados,Eduardo Da Fonte,PP,PE
Senado,Eduardo Girão,PODEMOS,CE
Senado,Eduardo Velloso,UNIÃO,AC
Camara dos Deputados,Efraim Filho,UNIÃO,PB
Camara dos Deputados,Elcione Barbalho,MDB,PA
Senado,Eliane Nogueira,PP,PI
Camara dos Deputados,Elias Vaz,PSB,GO
Camara dos Deputados,Eli Borges,PL,TO
Camara dos Deputados,Eli Corrêa Filho,UNIÃO,SP
Camara dos Deputados,Eliza Virgínia,PP,PB
Senado,Eliziane Gama,CIDADANIA,MA
Senado,Elmano Férrer,PP,PI
Camara dos Deputados,Elmar Nascimento,UNIÃO,BA
Camara dos Deputados,Emanuel Pinheiro Neto,MDB,MT
Camara dos Deputados,Emidinho Madeira,PL,MG
