chamber,name,wikipedia,ID,party,state
Camara dos Deputados,Benedita da Silva,https://pt.wikipedia.org/wiki/Benedita_da_Silva,Q4887390,PT,RJ
Camara dos Deputados,Benes Leocadio,https://pt.wikipedia.org/wiki/Benes_Leocádio,Q59284475,UNIÃO,RN
Camara dos Deputados,Beto Faro,https://pt.wikipedia.org/wiki/Beto_Faro,Q48871854,PT,PA
Camara dos Deputados,Beto Pereira,,,PSDB,MS
Camara dos Deputados,Beto Rosado,https://pt.wikipedia.org/wiki/Beto_Rosado,Q23893572,PP,RN
Camara dos Deputados,Bia Kicis,https://pt.wikipedia.org/wiki/Bia_Kicis,Q59203310,PL,DF
Camara dos Deputados,Bibo Nunes,https://pt.wikipedia.org/wiki/Bibo_Nunes,Q16498237,PL,RS
Camara dos Deputados,Bilac Pinto,,,UNIÃO,MG
Camara dos Deputados,Bira do Pindaré,https://pt.wikipedia.org/wiki/Bira_do_Pindaré,Q16336933,PSB,MA
Camara dos Deputados,Elvino Bohn Gass,https://pt.wikipedia.org/wiki/Bohn_Gass,Q19706588,PT,RS
Camara dos Deputados,Bosco Costa,https://pt.wikipedia.org/wiki/Bosco_Costa,Q59000912,PL,SE
Camara dos Deputados,Bosco Saraiva,,,SOLIDARIEDADE,AM
Camara dos Deputados,Bozzella,,,UNIÃO,SP
Camara dos Deputados,Bruna Furlan,https://pt.wikipedia.org/wiki/Bruna_Furlan,Q16336968,PSDB,SP
Camara dos Deputados,Cacá Leão,https://pt.wikipedia.org/wiki/Cacá_Leão,Q25441401,PP,BA
Camara dos Deputados,Camilo Capiberibe,https://pt.wikipedia.org/wiki/Camilo_Capiberibe,Q5026730,PSB,AP
Camara dos Deputados,Alberto Cavalcante Neto,https://pt.wikipedia.org/wiki/Alberto_Cavalcante_Neto,Q60782631,PL,AM
Camara dos Deputados,Capitão Augusto,,,PL,SP
Camara dos Deputados,Capitão Derrite,,,PL,SP
Camara dos Deputados,Fábio Abreu Costa,https://pt.wikipedia.org/wiki/Fábio_Abreu_Costa,Q20045762,PSD,PI
Camara dos Deputados,Capitão Wagner,,,UNIÃO,CE
Camara dos Deputados,Carla Dickson,https://pt.wikipedia.org/wiki/Carla_Dickson,Q50329614,UNIÃO,RN
Camara dos Deputados,Carla Zambelli,https://pt.wikipedia.org/wiki/Carla_Zambelli,Q59205152,PL,SP
Camara dos Deputados,Carlos Gomes Bezerra,https://pt.wikipedia.org/wiki/Carlos_Bezerra,Q9697100,MDB,MT
Camara dos Deputados,Carlos Chiodini,https://pt.wikipedia.org/wiki/Carlos_Chiodini,Q17489966,MDB,SC
Camara dos Deputados,Carlos Gomes,,,REPUBLICANOS,RS
Camara dos Deputados,Carlos Henrique Amorim,https://pt.wikipedia.org/wiki/Carlos_Gaguim,Q9697118,UNIÃO,TO
Camara dos Deputados,Carlos Jordy,https://pt.wikipedia.org/wiki/Carlos_Jordy,Q59203243,PL,RJ
Senado,Carlos Portinho,https://pt.wikipedia.org/wiki/Carlos_Portinho,Q101242849,PL,RJ
Camara dos Deputados,Carlos Sampaio,,,PSDB,SP
Camara dos Deputados,Carlos Veras,,,PT,PE
Senado,Carlos Viana,,,PL,MG
Camara dos Deputados,Carlos Zarattini,https://pt.wikipedia.org/wiki/Carlos_Zarattini,Q9697396,PT,SP
Camara dos Deputados,Carmen Zanotto,https://pt.wikipedia.org/wiki/Carmen_Zanotto,Q18274606,CIDADANIA,SC
Camara dos Deputados,Caroline De Toni,https://pt.wikipedia.org/wiki/Caroline_De_Toni,Q59284410,PL,SC
Camara dos Deputados,Cássio Andrade,https://pt.wikipedia.org/wiki/Cássio_Andrade,Q58988250,PSB,PA
Camara dos Deputados,Celina Leão,https://pt.wikipedia.org/wiki/Celina_Leão,Q27862778,PP,DF
Camara dos Deputados,Celio Moura,https://pt.wikipedia.org/wiki/Célio_Moura,Q59203931,PT,TO
Camara dos Deputados,Célio Silveira,https://pt.wikipedia.org/wiki/Célio_Silveira,Q21019970,MDB,GO
Camara dos Deputados,Celio Studart,https://pt.wikipedia.org/wiki/Célio_Studart,Q59204931,PSD,CE
Camara dos Deputados,Celso Maldaner,https://pt.wikipedia.org/wiki/Celso_Maldaner,Q17490028,MDB,SC
Camara dos Deputados,Celso Russomanno,,,REPUBLICANOS,SP
Camara dos Deputados,Celso Sabino,,,UNIÃO,PA
Camara dos Deputados,Cezinha de Madureira,https://pt.wikipedia.org/wiki/Cezinha_de_Madureira,Q56195632,PSD,SP
Camara dos Deputados,Charles Fernandes,,,PSD,BA
Camara dos Deputados,Charlles Evangelista,https://pt.wikipedia.org/wiki/Charlles_Evangelista,Q59009984,PP,MG
Camara dos Deputados,Chico d'Ângelo,https://pt.wikipedia.org/wiki/Chico_d'Ângelo,Q16939738,PDT,RJ
Senado,Chico Rodrigues,https://pt.wikipedia.org/wiki/Chico_Rodrigues,Q16337178,UNIÃO,RR
Camara dos Deputados,Chiquinho Brazão,https://pt.wikipedia.org/wiki/Chiquinho_Brazão,Q58997373,UNIÃO,RJ
Camara dos Deputados,Christiane Yared,https://pt.wikipedia.org/wiki/Christiane_Yared,Q18243754,PP,PR
Camara dos Deputados,Christino Áureo,https://pt.wikipedia.org/wiki/Christino_Áureo,Q16939760,PP,RJ
Camara dos Deputados,Chris Tonietto,https://pt.wikipedia.org/wiki/Chris_Tonietto,Q59216517,PL,RJ
Camara dos Deputados,Clarissa Garotinho,,,UNIÃO,RJ
Camara dos Deputados,Cláudio Cajado,https://pt.wikipedia.org/wiki/Cláudio_Cajado,Q16337250,PP,BA
Camara dos Deputados,Cléber Verde,https://pt.wikipedia.org/wiki/Cléber_Verde,Q24040304,REPUBLICANOS,MA
Senado,Confúcio Moura,https://pt.wikipedia.org/wiki/Confúcio_Moura,Q9849034,MDB,RO
Camara dos Deputados,Coronel Armando,https://pt.wikipedia.org/wiki/Coronel_Armando,Q59284414,PL,SC
Camara dos Deputados,Coronel Chrisóstomo,https://pt.wikipedia.org/wiki/Chrisóstomo_de_Moura,Q59284486,PL,RO
Camara dos Deputados,Coronel Tadeu,https://pt.wikipedia.org/wiki/Coronel_Tadeu,Q59204934,PL,SP
Camara dos Deputados,Luis Antonio Franciscatto Covatti,https://pt.wikipedia.org/wiki/Covatti_Filho,Q20045978,PP,RS
Camara dos Deputados,Cristiano Vale,https://pt.wikipedia.org/wiki/Cristiano_Vale,Q59204985,PP,PA
Camara dos Deputados,Dagoberto Nogueira Filho,https://pt.wikipedia.org/wiki/Dagoberto_Nogueira_Filho,Q10263709,PSDB,MS
Camara dos Deputados,Damião Feliciano,https://pt.wikipedia.org/wiki/Damião_Feliciano,Q10263827,UNIÃO,PB
Camara dos Deputados,Daniela Carneiro,https://pt.wikipedia.org/wiki/Daniela_Carneiro,Q59205144,UNIÃO,RJ
Camara dos Deputados,Daniel Almeida,,,PCdoB,BA
Camara dos Deputados,Daniel Coelho,,,CIDADANIA,PE
Camara dos Deputados,Daniel Freitas,,,PL,SC
Senado,Daniella Ribeiro,https://pt.wikipedia.org/wiki/Daniella_Ribeiro,Q16337325,PSD,PB
Camara dos Deputados,Daniel Silveira,https://pt.wikipedia.org/wiki/Daniel_Silveira,Q60782632,PTB,RJ
Camara dos Deputados,Daniel Da Tv,https://pt.wikipedia.org/wiki/Daniel_Trzeciak,Q59284533,PSDB,RS
Camara dos Deputados,Danilo Jorge de Barros Cabral,https://pt.wikipedia.org/wiki/Danilo_Cabral,Q25175923,PSB,PE
Camara dos Deputados,Danilo Forte,https://pt.wikipedia.org/wiki/Danilo_Forte,Q23905411,UNIÃO,CE
Camara dos Deputados,Danrlei de Deus Hinterholz,https://pt.wikipedia.org/wiki/Danrlei,Q953573,PSD,RS
Camara dos Deputados,Darci de Matos,https://pt.wikipedia.org/wiki/Darci_de_Matos,Q10264197,PSD,SC
Senado,Dário Berger,https://pt.wikipedia.org/wiki/Dário_Berger,Q10269227,PSB,SC
Senado,Davi Alcolumbre,https://pt.wikipedia.org/wiki/Davi_Alcolumbre,Q10264359,UNIÃO,AP
Camara dos Deputados,David Miranda,,,PDT,RJ
Camara dos Deputados,David Soares,,,UNIÃO,SP
Camara dos Deputados,Da Vitoria,https://pt.wikipedia.org/wiki/Josias_da_Vitória,Q59002351,PP,ES
Camara dos Deputados,Antônio Furtado,https://pt.wikipedia.org/wiki/Antônio_Furtado,Q59203038,UNIÃO,RJ
